Orthogroup	hi_protein	pa_protein	sa_mrsa_protein	Total
OG0000000	0	51	0	51
OG0000001	1	40	0	41
OG0000002	0	38	1	39
OG0000003	1	29	2	32
OG0000004	0	26	1	27
OG0000005	0	26	0	26
OG0000006	1	18	5	24
OG0000007	1	22	0	23
OG0000008	1	20	1	22
OG0000009	0	19	0	19
OG0000010	0	18	1	19
OG0000011	0	19	0	19
OG0000012	1	17	0	18
OG0000013	0	17	0	17
OG0000014	3	9	3	15
OG0000015	5	7	3	15
OG0000016	1	13	1	15
OG0000017	1	14	0	15
OG0000018	0	14	1	15
OG0000019	0	15	0	15
OG0000020	0	15	0	15
OG0000021	0	0	15	15
OG0000022	1	12	1	14
OG0000023	0	14	0	14
OG0000024	0	14	0	14
OG0000025	1	12	0	13
OG0000026	1	11	1	13
OG0000027	0	13	0	13
OG0000028	0	13	0	13
OG0000029	0	12	1	13
OG0000030	1	11	0	12
OG0000031	1	11	0	12
OG0000032	2	10	0	12
OG0000033	2	5	5	12
OG0000034	3	7	2	12
OG0000035	1	11	0	12
OG0000036	1	8	3	12
OG0000037	0	12	0	12
OG0000038	0	10	2	12
OG0000039	0	2	10	12
OG0000040	1	4	6	11
OG0000041	1	10	0	11
OG0000042	1	10	0	11
OG0000043	1	5	5	11
OG0000044	1	10	0	11
OG0000045	0	11	0	11
OG0000046	0	11	0	11
OG0000047	0	11	0	11
OG0000048	0	7	4	11
OG0000049	1	9	0	10
OG0000050	3	5	2	10
OG0000051	1	2	7	10
OG0000052	0	10	0	10
OG0000053	0	10	0	10
OG0000054	0	0	10	10
OG0000055	1	7	1	9
OG0000056	1	8	0	9
OG0000057	1	5	3	9
OG0000058	2	6	1	9
OG0000059	1	7	1	9
OG0000060	1	8	0	9
OG0000061	0	9	0	9
OG0000062	0	8	1	9
OG0000063	0	9	0	9
OG0000064	0	9	0	9
OG0000065	0	3	6	9
OG0000066	0	8	1	9
OG0000067	1	4	3	8
OG0000068	1	6	1	8
OG0000069	2	5	1	8
OG0000070	2	6	0	8
OG0000071	1	4	3	8
OG0000072	1	6	1	8
OG0000073	1	2	5	8
OG0000074	1	3	4	8
OG0000075	0	7	1	8
OG0000076	0	7	1	8
OG0000077	0	6	2	8
OG0000078	0	8	0	8
OG0000079	0	6	2	8
OG0000080	0	8	0	8
OG0000081	0	8	0	8
OG0000082	0	0	8	8
OG0000083	1	3	3	7
OG0000084	2	3	2	7
OG0000085	1	5	1	7
OG0000086	1	4	2	7
OG0000087	1	2	4	7
OG0000088	3	2	2	7
OG0000089	3	1	3	7
OG0000090	1	4	2	7
OG0000091	2	4	1	7
OG0000092	2	3	2	7
OG0000093	3	4	0	7
OG0000094	2	3	2	7
OG0000095	3	4	0	7
OG0000096	1	3	3	7
OG0000097	1	3	3	7
OG0000098	2	1	4	7
OG0000099	1	3	3	7
OG0000100	1	4	2	7
OG0000101	1	6	0	7
OG0000102	0	7	0	7
OG0000103	0	7	0	7
OG0000104	0	7	0	7
OG0000105	0	6	1	7
OG0000106	0	7	0	7
OG0000107	0	7	0	7
OG0000108	0	5	2	7
OG0000109	0	6	1	7
OG0000110	0	0	7	7
OG0000111	0	0	7	7
OG0000112	0	0	7	7
OG0000113	0	0	7	7
OG0000114	1	3	2	6
OG0000115	1	5	0	6
OG0000116	2	1	3	6
OG0000117	2	4	0	6
OG0000118	1	3	2	6
OG0000119	1	5	0	6
OG0000120	2	3	1	6
OG0000121	1	4	1	6
OG0000122	2	4	0	6
OG0000123	3	2	1	6
OG0000124	1	4	1	6
OG0000125	2	2	2	6
OG0000126	2	2	2	6
OG0000127	3	1	2	6
OG0000128	2	2	2	6
OG0000129	1	2	3	6
OG0000130	3	2	1	6
OG0000131	3	1	2	6
OG0000132	1	2	3	6
OG0000133	2	2	2	6
OG0000134	2	2	2	6
OG0000135	2	2	2	6
OG0000136	1	5	0	6
OG0000137	1	4	1	6
OG0000138	1	3	2	6
OG0000139	2	3	1	6
OG0000140	2	3	1	6
OG0000141	1	4	1	6
OG0000142	1	4	1	6
OG0000143	1	2	3	6
OG0000144	2	4	0	6
OG0000145	1	4	1	6
OG0000146	1	5	0	6
OG0000147	4	0	2	6
OG0000148	1	4	1	6
OG0000149	1	4	1	6
OG0000150	1	3	2	6
OG0000151	1	4	1	6
OG0000152	1	4	1	6
OG0000153	0	6	0	6
OG0000154	0	6	0	6
OG0000155	0	6	0	6
OG0000156	0	6	0	6
OG0000157	0	6	0	6
OG0000158	0	6	0	6
OG0000159	0	6	0	6
OG0000160	0	6	0	6
OG0000161	0	6	0	6
OG0000162	0	6	0	6
OG0000163	0	4	2	6
OG0000164	0	4	2	6
OG0000165	0	5	1	6
OG0000166	0	6	0	6
OG0000167	0	6	0	6
OG0000168	0	6	0	6
OG0000169	0	6	0	6
OG0000170	0	6	0	6
OG0000171	0	6	0	6
OG0000172	0	6	0	6
OG0000173	0	6	0	6
OG0000174	0	1	5	6
OG0000175	0	0	6	6
OG0000176	0	0	6	6
OG0000177	0	0	6	6
OG0000178	1	3	1	5
OG0000179	4	1	0	5
OG0000180	2	2	1	5
OG0000181	1	3	1	5
OG0000182	3	2	0	5
OG0000183	2	3	0	5
OG0000184	1	2	2	5
OG0000185	2	2	1	5
OG0000186	1	3	1	5
OG0000187	1	2	2	5
OG0000188	1	1	3	5
OG0000189	1	3	1	5
OG0000190	1	4	0	5
OG0000191	1	4	0	5
OG0000192	3	1	1	5
OG0000193	2	1	2	5
OG0000194	3	1	1	5
OG0000195	3	2	0	5
OG0000196	1	4	0	5
OG0000197	1	4	0	5
OG0000198	1	1	3	5
